snr_db,peak_amp,rms_amp,noise_sigma
Inf,378.645345207453,90.4994737789354,0
40,379.162664119539,90.522623361986,0.904994737789353
30,377.976660369525,90.6027949992313,2.86184464188121
20,390.65624887993,90.984469868783,9.04994737789353
10,435.742615564943,94.4691211333015,28.6184464188121
