diameter_mm,temp_c,snr_db,n_total,n_valid,invalid_rate,dt_bias_ns,dt_std_ns,dt_rmse_ns,dt_abs_mean_ns,dt_ci95_low_ns,dt_ci95_high_ns,dt_outlier_rate,v_bias_mps,v_std_mps,v_rmse_mps,v_abs_mean_mps,v_ci95_low_mps,v_ci95_high_mps,v_outlier_rate
15,20,40,150,150,0,0.000190092705430776,0.0390872300162428,0.0389571851555488,0.0315543225848725,-0.0776882242095178,0.0763311644395585,0,6.9413720611348e-06,0.00142729835824111,0.00142254967648267,0.00115222881749573,-0.00283684146517482,0.00278728745019659,0
15,20,35,150,150,0,-0.00426000776059141,0.07581596145478,0.0756828070129376,0.061080220245257,-0.14551529925464,0.139586127602815,0,-0.000155557251825049,0.00276847444211092,0.00276361221175704,0.00223038823781663,-0.00531359596571052,0.00509708799211268,0
15,20,30,150,150,0,-0.0177387333740485,0.140596080773498,0.141244960515616,0.112502094944098,-0.303000078123201,0.221823156194411,0,-0.000647742626211386,0.00513396715960073,0.00515766147076666,0.00410809503118208,-0.0110642661010375,0.00810003232576437,0
15,20,25,150,150,0,-0.000601843397371482,0.232649914174171,0.23187389869702,0.185817817105727,-0.427353833275196,0.44642930237738,0,-2.1976745157517e-05,0.00849537919181644,0.00846704242771094,0.00678527143460261,-0.0156051330413605,0.0163016875355247,0
15,20,20,150,150,0,0.0255713332652323,0.408100680387348,0.407541103017467,0.321666650256445,-0.823240689076744,0.71186157246741,0,0.000933755652993117,0.0149020902957793,0.0148816569250593,0.0117458894278556,-0.0300612267348758,0.0259941380664598,0
15,20,15,150,150,0,-0.10115011599742,0.779957202160733,0.783906262415352,0.5876200466242,-1.87658691601947,1.22464776804534,0,-0.00369356934321045,0.0284806990334118,0.0286249018130836,0.0214573692601845,-0.0685249229279823,0.044718895353506,0
15,20,10,150,150,0,0.121897043383636,1.37390946880556,1.37473704254162,1.07859586626527,-2.69058408688694,2.21271173380808,0,0.00445115834055311,0.0501692938686936,0.0501995133197603,0.0393857049600689,-0.0982486159374194,0.0807987627573698,0.00666666666666667
20,20,40,150,150,0,-0.000509054475469763,0.0598127546841322,0.0596152188780445,0.0473245575870779,-0.109506345500987,0.126936141382387,0,-2.47961224112103e-05,0.0029134885525306,0.00290386655279508,0.0023051865360768,-0.0053340710644652,0.00618307912372575,0
20,20,35,150,150,0,-0.0116549182111508,0.100372304166356,0.100713815168928,0.0824272971037914,-0.185815402949337,0.197529550721679,0,-0.000567712872750883,0.00488915049514308,0.00490578554901766,0.00401504641938261,-0.00905109708181315,0.00962169503567098,0
20,20,30,150,150,0,0.0276087087089846,0.218998238153644,0.220006214129394,0.179995501501354,-0.359493066268378,0.435924473902708,0,0.00134482448097502,0.0106674381284479,0.0107165367944779,0.00876760878011059,-0.0175109629847044,0.0212339486985775,0
20,20,25,150,150,0,0.0259849924052565,0.327152780769063,0.327094230330444,0.266053283858133,-0.543118037010059,0.647002997473459,0,0.00126573300812026,0.0159356626648076,0.0159328106638662,0.0129594966989454,-0.0264553637741331,0.031515616302019,0
20,20,20,150,150,0,0.0746005416339639,0.642965712799289,0.645146584838419,0.510144213805088,-1.01379167148837,1.38826953535577,0,0.00363380394718374,0.0313189595397012,0.0314251901547948,0.0248492037343859,-0.0493819494709847,0.067622824269604,0
20,20,15,150,150,0,0.124201126781033,1.12062703415712,1.12376992154958,0.868436794908417,-1.73863274915533,2.42570167420304,0,0.00604985613852583,0.0545859165476496,0.054739007079731,0.0423016909006077,-0.0846890707252894,0.118156304570265,0.00666666666666667
20,20,10,150,150,0,0.425388446596313,2.30656929732565,2.3378941038979,1.64199286108051,-2.87227025603662,6.82716633259391,0,0.020720737175242,0.112353348025277,0.113879184209222,0.079981726796545,-0.13990872941615,0.332552330372966,0.0733333333333333
25,20,40,150,150,0,0.00161509579320478,0.0251239314784082,0.0250920781881473,0.0198338667822204,-0.0442929048354492,0.0470065903026293,0,9.83394580635211e-05,0.00152973824612035,0.00152779877273742,0.00120763840688285,-0.00269689282574214,0.00286212287545213,0
25,20,35,150,150,0,-0.00270463157247706,0.0483669604126119,0.0482812814566989,0.0394033165080721,-0.100056088514971,0.0829762010141495,0,-0.000164678778941905,0.00294495267412065,0.0029397358800906,0.00239917706901034,-0.0060921844771826,0.00505222951743043,0
25,20,30,150,150,0,-0.00885725423240248,0.0837398726302102,0.0839289468074459,0.0652944476662076,-0.173812861929069,0.14442233290466,0,-0.000539297783333137,0.00509872772092899,0.00511024001153207,0.00397562833428929,-0.0105830643101796,0.00879354277924425,0
25,20,25,150,150,0,0.0134340610073518,0.145000587156989,0.145139506920692,0.11781178122887,-0.258480547150489,0.31022461328344,0,0.000817968992684131,0.00882875134708051,0.00883720985111127,0.00717328765779557,-0.0157382844000367,0.0188888612530814,0
25,20,20,150,150,0,-0.0432120644594465,0.282764514939538,0.285114038502339,0.2302681762896,-0.556249076023427,0.526914829360075,0,-0.00263108294791541,0.0172168791942626,0.0173599362654565,0.0140204982025729,-0.0338687233999758,0.032082628772205,0
25,20,15,150,150,0,-0.055588430423792,0.480360251384033,0.481972756732833,0.385813841902058,-0.937878689646323,0.874809539780174,0,-0.00338465132872048,0.029248027884874,0.029346209616752,0.0234913150574158,-0.057105270447272,0.0532651353639764,0
25,20,10,150,150,0,-0.0214664482340891,0.843657747276592,0.841114823895051,0.67428288530448,-1.42604168903815,1.45981336351924,0,-0.00130704252637657,0.0513683745616758,0.0512135418215435,0.0410555298338206,-0.0868283896633979,0.0888846690372553,0
