v_mps,snr_db,n_total,n_valid,invalid_rate,dt_bias_ns,dt_std_ns,dt_rmse_ns,dt_abs_mean_ns,dt_ci95_low_ns,dt_ci95_high_ns,dt_outlier_rate,v_bias_mps,v_std_mps,v_rmse_mps,v_abs_mean_mps,v_ci95_low_mps,v_ci95_high_mps,v_outlier_rate,q_bias_m3ph,q_std_m3ph,q_rmse_m3ph,q_abs_mean_m3ph,q_ci95_low_m3ph,q_ci95_high_m3ph,q_outlier_rate
1,35,120,120,0,0.00311683286747204,0.104838165006027,0.104446940988903,0.0844065026281557,-0.186054059538953,0.18974155433482,0,-0.00031088258379989,0.00510668326891832,0.0050948546142049,0.00410081011017898,-0.00952542607721859,0.00877963652848204,0,-0.000351599918902168,0.00577552271106373,0.0057621448177539,0.0046379069697258,-0.010773003091141,0.00992953498286436,0
1,30,120,120,0,-0.0138711805830532,0.169230629046654,0.169093929744875,0.131052969212735,-0.311464563290536,0.354755784450309,0,-0.00113837135236973,0.00824325017412687,0.00828738818871956,0.00644864572076344,-0.0156341911554514,0.0168175052570672,0,-0.00128746766795832,0.00932289630794631,0.00937281522640615,0.00729324648790334,-0.0176818536283624,0.0190201503482315,0
1,25,120,120,0,-0.0721109355415803,0.335086309063724,0.341389998768196,0.266914373235362,-0.729387055769835,0.584067942849948,0,-0.00397523884442776,0.0163221060578554,0.016733008610212,0.0131130759365421,-0.03599126054832,0.0279873360395085,0,-0.0044958892139709,0.0184598670536899,0.0189245868920268,0.0148305394901541,-0.0407051567035337,0.0316529313462968,0
1,20,120,120,0,0.15336589435866,0.834993652207309,0.845532599481167,0.695025322439358,-1.51619918600729,1.61730916281551,0,0.00700777249227494,0.0406726702354523,0.0411046156595337,0.0338008090624242,-0.0743170013797678,0.0783166760317865,0,0.0079256039687134,0.0459997063248878,0.0464882250904643,0.0382278144369251,-0.0840505484057405,0.0885740738670115,0
1,15,120,120,0,0.439859506431341,2.30895969699387,2.34101341525143,1.98635658621501,-3.04926531301488,4.45697475224368,0,0.0208272283853777,0.112282485533482,0.113736839656932,0.0965969096678205,-0.148992890074358,0.216074544532128,0.05,0.0235550403684501,0.126988499404364,0.128633335167146,0.109248531037885,-0.168506988802097,0.244374552622762,0.1
1,10,120,120,0,0.40649818556044,6.54619330666508,6.53152219570768,4.98760380744005,-13.8710390020467,11.5941216001077,0.025,0.0191130439341313,0.318559870383208,0.317805018119349,0.242682899049607,-0.675973235524253,0.563565288499707,0.5,0.0216163434280341,0.360282725468785,0.359429007671178,0.274467892610203,-0.764507718268674,0.637377325260801,0.558333333333333
2,999,120,120,0,0.000724975641404058,0,0.000724975641404058,0.000724975641404058,0.000724975641404058,0.000724975641404058,0,-0.00273837618449813,0,0.00273837618449813,0.00273837618449813,-0.00273837618449813,-0.00273837618449813,0,-0.00309703050143462,0,0.00309703050143462,0.00309703050143462,-0.00309703050143462,-0.00309703050143462,0
2,40,120,120,0,-0.000635833080848099,0.0562094771691674,0.0559783922268905,0.0451953219066286,-0.104961317082758,0.103901276092322,0,-0.00280460010416006,0.00273544094730118,0.00390973958347934,0.00323012417315894,-0.0078816122942392,0.00228271085025773,0,-0.00317192799005523,0.00309371082637325,0.00442181129504694,0.00365318437412851,-0.00891389350152909,0.00258168514947817,0
2,35,120,120,0,-0.00605054849459403,0.0967734265125909,0.0965591153063674,0.0776778905539125,-0.196304050471962,0.200582443138577,0,-0.00306810787912417,0.00470949040668869,0.00560426251611642,0.00452435222809141,-0.0123268173688079,0.00698771143895295,0,-0.00346994826245198,0.00532630816696974,0.00633827158179126,0.00511692181992887,-0.0139413019996764,0.00790291545192708,0
2,30,120,120,0,0.0539792544040757,0.186459237804384,0.193367737417397,0.155708428004545,-0.268986144473366,0.461243111834788,0,-0.000146750322048121,0.00907406116868235,0.00903736503998272,0.00737501564597003,-0.0158639001897115,0.0196727941405159,0,-0.000165970704117098,0.0102625214060725,0.0102210190622708,0.00834094619045612,-0.0179416484255808,0.0222494059970744,0
2,25,120,120,0,0.0267108601745464,0.368146714631766,0.367581338186496,0.301850596724398,-0.662061340556312,0.682274813207168,0,-0.00147376999736228,0.0179159040171703,0.0179018653949241,0.0148596402177184,-0.034992951746226,0.0304293283948017,0,-0.00166679459884608,0.0202624100793944,0.0202465327716889,0.0168058571554697,-0.0395760960480116,0.0344147596339605,0
2,20,120,120,0,0.0788074155996732,0.925952875187502,0.925448231811267,0.751236472426404,-1.84709000770263,1.64518687199113,0,0.00106872473857216,0.0450406306138495,0.0448652994188452,0.0360214975672736,-0.0926625139462434,0.0772895592117599,0,0.00120869920346676,0.0509397531298276,0.0507414582199261,0.0407393539663137,-0.104798834307605,0.0874124321107887,0
2,15,120,120,0,-0.41789447003447,2.28453166013312,2.31305605639338,1.87522173927846,-4.79603103306233,3.54856836622439,0,-0.0229282026349581,0.110918702168862,0.112810178232304,0.091534563404011,-0.235357330283129,0.169917847889686,0.0583333333333333,-0.025931186264881,0.125446096756588,0.127585305786515,0.103523152298252,-0.266182869522955,0.192172558551849,0.125
2,10,120,120,0,0.343388586091899,6.20138534409342,6.18503188394735,4.81945701373841,-9.84178479717553,13.7736099936971,0.025,0.0141119710140394,0.301300577755969,0.300374214767759,0.23385483789832,-0.481023107763055,0.666288163353065,0.491666666666667,0.0159602632075361,0.340762925376185,0.33971523351919,0.264483590669206,-0.544024318159924,0.753554159698977,0.55
