v_mps,snr_db,n_total,n_valid,invalid_rate,dt_bias_ns,dt_std_ns,dt_rmse_ns,dt_abs_mean_ns,dt_ci95_low_ns,dt_ci95_high_ns,dt_outlier_rate,v_bias_mps,v_std_mps,v_rmse_mps,v_abs_mean_mps,v_ci95_low_mps,v_ci95_high_mps,v_outlier_rate,q_bias_m3ph,q_std_m3ph,q_rmse_m3ph,q_abs_mean_m3ph,q_ci95_low_m3ph,q_ci95_high_m3ph,q_outlier_rate
0.5,999,120,120,0,0.000804171487033045,0,0.000804171487033045,0.000804171487033045,0.000804171487033045,0.000804171487033045,0,-0.000192180680173015,0,0.000192180680173015,0.000192180680173015,-0.000192180680173015,-0.000192180680173015,0,-0.00021735122867772,0,0.00021735122867772,0.00021735122867772,-0.00021735122867772,-0.00021735122867772,0
0.5,40,120,120,0,-0.00633732405247588,0.0529449546415373,0.0531033912566537,0.0430522627814924,-0.107303598975491,0.0855018953677529,0,-0.000540044034940536,0.00257895694784466,0.0026243554143232,0.00211963201885849,-0.00545812693771479,0.00393345857946373,0,-0.000610775414202328,0.00291673159245834,0.0029680760484167,0.00239724733635343,-0.00617299613635871,0.00444863684751951,0
0.5,35,120,120,0,-0.00913091630494175,0.0915777963803101,0.0916513992393229,0.0747622415489291,-0.170128060718679,0.155000584070999,0,-0.000676120346606498,0.0044607686576053,0.00449330337999007,0.00365409935558341,-0.0085183162079514,0.00731875047952908,0,-0.000764674096982984,0.00504501049587471,0.00508180640001371,0.00413268900875569,-0.00963398866314774,0.00827731178638029,0
0.5,30,120,120,0,0.00923699083291882,0.200436340794705,0.199813060938365,0.150207051393487,-0.472367557114525,0.401009804552508,0,0.000218583257377479,0.00976328523072383,0.00972497657149218,0.00728406688975659,-0.0232404489290099,0.0193018977442713,0,0.000247211840006911,0.0110420154560677,0.0109986893831998,0.00823808557048174,-0.0262843285037423,0.0218299320553478,0
0.5,25,120,120,0,-0.022446180505243,0.392968146866949,0.391970571728139,0.298245701646059,-0.824221790530201,0.706670961459777,0,-0.00132470892986714,0.0191415393497962,0.0191075917204742,0.0145398519090266,-0.0403793231813265,0.0341907000792495,0,-0.00149821050319757,0.021648570983899,0.0216101771196605,0.0164441850990054,-0.0456679386228181,0.0386687707884224,0
0.5,20,120,120,0,-0.0583331063269456,0.909599979627671,0.907678415817659,0.749384826895257,-2.06441839290108,1.31414060399779,0,-0.0030727666496495,0.0443067560091884,0.0442286270535326,0.0364987952172284,-0.10078949193173,0.0637806405341048,0,-0.00347521720778448,0.0501097605058303,0.0500213987387066,0.0412791648909563,-0.113990229868237,0.0721342050275502,0
0.5,15,120,120,0,-0.689142031001358,2.24103889157604,2.33566263078298,1.87483608104261,-5.08086744317387,2.99083561704383,0,-0.033760952204445,0.109112362169957,0.113780916277319,0.0913080763839973,-0.247604408316154,0.145452714532241,0.075,-0.038182737392525,0.123403174347228,0.128683184650394,0.103267001513297,-0.280033988458492,0.164503144590905,0.1
0.5,10,120,120,0,-1.16859462663225,5.49159085241142,5.59212575033831,4.50258486853675,-9.35134399274754,12.8641514352649,0.00833333333333333,-0.0571313668572254,0.267428293715514,0.272370892209323,0.219313686992087,-0.455716277226609,0.625862517462879,0.491666666666667,-0.064614053666953,0.302454274643536,0.308044221845943,0.248037936438971,-0.515402967116306,0.707833831326694,0.55
1,999,120,120,0,-0.000790499781238907,0,0.000790499781238907,0.000790499781238907,-0.000790499781238907,-0.000790499781238907,0,-0.000501209362813171,0,0.000501209362813171,0.000501209362813171,-0.000501209362813171,-0.000501209362813171,0,-0.000566854434764785,0,0.000566854434764785,0.000566854434764785,-0.000566854434764785,-0.000566854434764785,0
1,40,120,120,0,-0.00523826193118273,0.0558555811952508,0.0558684761065078,0.0458988288432033,-0.10755938195556,0.0927013611174213,0,-0.000717860546606333,0.00272073401846644,0.00280286117213955,0.00227843979480019,-0.00570193816428898,0.00405279367418946,0,-0.000811881151027412,0.00307707768172295,0.00316996130427325,0.00257685469955673,-0.00644874013733524,0.00458360166000565,0
