target,n_total,n_valid,invalid_rate,bias,std,rmse,abs_mean,ci95_low,ci95_high,outlier_rate
speed,7,7,0,-0.00148570521099267,0.00204853171997236,0.00240921246955434,0.00148570565411097,-0.00512908666386128,1.21902039712518e-09,0
flow,7,7,0,-0.00168029300745165,0.00231683479275984,0.00272475511030393,0.00168029350860664,-0.00580086035381218,1.37867957189508e-09,0
